episode,score,epsilon,avg_loss,used_heuristic
0,-1.445,1.0,0.028238097205758095,True
1,-0.77,0.9997,0.023540045134723186,True
2,-1.8900000000000001,0.9994,0.0375038132071495,True
3,-1.775,0.9991,0.026968517547680274,True
4,-0.46499999999999997,0.9988,0.024155739073952038,True
5,-0.94,0.9985,0.025348016060888767,True
6,0.7250000000000001,0.9982,0.052438725158572196,True
7,-0.865,0.9979,0.05624536952624718,True
8,-1.285,0.9976,0.0524594109505415,True
9,-0.4149999999999999,0.9973,0.02071905881166458,True
10,-1.63,0.997,0.02115681255236268,True
11,-1.0500000000000003,0.9967,0.05207236270036768,True
12,-1.635,0.9964,0.04046298563480377,True
13,0.2450000000000001,0.9961,0.021121892457207043,True
14,-1.57,0.9958,0.03400809969753027,True
15,-0.2550000000000001,0.9955,0.029347856839497883,True
16,-1.82,0.9952,0.0319814532995224,True
17,-0.525,0.9949,0.0901363417506218,True
18,-1.3250000000000002,0.9946,0.039530619978904724,True
19,-1.0150000000000001,0.9943,0.04313986748456955,True
20,-1.56,0.994,0.03309540590271354,True
21,0.11999999999999966,0.9937,0.054366625017589994,True
22,-1.0350000000000001,0.9934,0.03784303380442517,True
23,-1.545,0.9931,0.058166383455197014,True
24,-0.69,0.9928,0.04154640482738614,True
25,-0.735,0.9925,0.034074156545102596,True
26,-1.645,0.9922,0.054226361215114594,True
27,-0.915,0.9919,0.033475888737787805,True
28,-0.5850000000000001,0.9916,0.024448022712022066,True
29,-1.6800000000000002,0.9913,0.0571340729482472,True
30,-0.935,0.991,0.04744460806250572,True
31,-0.42500000000000016,0.9907,0.049782456209262214,True
32,-1.61,0.9904,0.058256784764428936,True
33,-0.39500000000000013,0.9901,0.06935210488736629,True
34,-1.7349999999999999,0.9898,0.044953531585633755,True
35,-1.75,0.9895,0.05793926864862442,True
36,-0.12,0.9892,0.08098598569631577,True
37,-1.04,0.9889,0.03652859479188919,True
38,-1.495,0.9886,0.05040200930088758,True
39,-1.0699999999999998,0.9883,0.08011017553508282,True
40,-1.3900000000000001,0.988,0.05901012569665909,True
41,-0.8600000000000001,0.9877,0.07372255809605122,True
42,-0.6600000000000003,0.9874,0.057204990432812616,True
43,-1.0150000000000001,0.9871,0.08440382778644562,True
44,-2.17,0.9868,0.06583776790648699,True
45,-0.585,0.9865,0.066930434666574,True
46,0.47,0.9862,0.048375205136835575,True
47,-2.56,0.9859,0.07449145801365376,True
48,0.8650000000000002,0.9856,0.06349143385887146,True
49,-1.2000000000000002,0.9853,0.09416491091251374,True
50,-0.11499999999999999,0.985,0.14221853017807007,True
51,-1.1300000000000001,0.9847,0.033548299223184586,True
52,-0.615,0.9844,0.04299817234277725,True
53,-0.855,0.9841,0.09638913720846176,True
54,-0.735,0.9838,0.09702005703002214,True
55,-1.215,0.9835,0.14317360520362854,True
56,-0.675,0.9832,0.06607751175761223,True
57,-2.86,0.9829,0.07293276240428288,True
58,0.6400000000000001,0.9826,0.07362587237730622,True
59,-2.66,0.9823,0.09881763656934102,True
60,-0.1649999999999998,0.982,0.11378176386157672,True
61,-0.475,0.9817,0.0736908707767725,True
62,-1.125,0.9814,0.032171960920095444,True
63,-1.645,0.9811,0.1266935169696808,True
64,-0.5349999999999999,0.9808,0.10295646424804415,True
65,-1.4700000000000002,0.9805,0.0755530446767807,True
66,-0.355,0.9802,0.11477853109439214,True
67,-1.3400000000000003,0.9799,0.09938039949962071,True
68,-1.665,0.9796,0.048800921998918056,True
69,-1.12,0.9793,0.11041024327278137,True
70,-0.9700000000000001,0.979,0.10707299504429102,True
71,-0.7999999999999999,0.9787,0.18075923919677733,True
72,-0.08500000000000019,0.9784,0.11849543750286103,True
73,-0.765,0.9781,0.110896997153759,True
74,-1.8,0.9778,0.08885917129615943,True
75,-0.3350000000000001,0.9775,0.12470701336860657,True
76,-1.9050000000000002,0.9772,0.12709297835826874,True
77,-0.8349999999999999,0.9769,0.1471431404352188,True
78,-2.365,0.9766,0.09911287296563387,True
79,0.3700000000000001,0.9763,0.2774715721607208,True
80,-0.3550000000000001,0.976,0.13518355041742325,True
81,-1.5150000000000001,0.9757,0.1299822349101305,True
82,-1.27,0.9754,0.15178483724594116,True
83,-1.11,0.9751,0.07933823764324188,True
84,-0.6349999999999999,0.9748,0.0736764669418335,True
85,-1.44,0.9745,0.12298501282930374,True
86,-0.72,0.9742,0.14237964153289795,True
87,-1.8250000000000002,0.9739,0.20637206733226776,True
88,-0.7149999999999999,0.9736,0.1302433361609777,True
89,-1.1300000000000001,0.9733,0.09782189130783081,True
90,-1.48,0.973,0.19819118082523346,True
91,0.09499999999999975,0.9727,0.20332616791129113,True
92,-1.6900000000000002,0.9724,0.17252299785614014,True
93,-0.9800000000000002,0.9721,0.19389725290238857,True
94,-1.835,0.9718,0.12890463694930077,True
95,-0.405,0.9715,0.2291143275797367,True
96,0.365,0.9712,0.2143191397190094,True
97,-0.7599999999999999,0.9709,0.3522164821624756,True
98,-1.1400000000000001,0.9706,0.11620867997407913,True
99,-1.725,0.9703,0.1714243876437346,True
100,-0.2550000000000001,0.97,0.2556513613089919,True
101,-1.37,0.9697,0.4030529297888279,True
102,-1.5550000000000002,0.9694,0.2203717203810811,True
103,-0.20999999999999996,0.9691,0.42985397577285767,True
104,0.575,0.9688,0.2394474744796753,True
105,-1.82,0.9685,0.09359543770551682,True
106,-0.5950000000000001,0.9682,0.3216230645775795,True
107,-1.4000000000000001,0.9679,0.4059305727481842,True
108,-1.12,0.9676,0.6141824722290039,True
109,-1.125,0.9673,0.37335770577192307,True
110,-0.3350000000000001,0.967,0.5929372012615204,True
111,-1.745,0.9667,0.4153463691473007,True
112,-1.0,0.9664,0.39175372819105786,True
113,-1.725,0.9661,0.2782098079721133,True
114,-0.785,0.9658,0.33644103407859804,True
115,-1.4300000000000002,0.9655,0.8236025075117747,True
116,-1.89,0.9652000000000001,0.6752357244491577,True
117,0.2100000000000002,0.9649,0.5155645966529846,True
118,-1.3050000000000002,0.9646,0.5142954478661219,True
119,-0.7000000000000001,0.9643,0.7794220248858134,True
120,-2.465,0.964,0.4882323443889618,True
121,0.675,0.9637,1.0598540902137756,True
122,-2.16,0.9634,0.3953447739283244,True
123,-0.72,0.9631,0.4883923828601837,True
124,-0.65,0.9628,1.0873724073171616,True
125,-1.42,0.9625,0.933280423283577,True
126,-0.92,0.9622,0.6595990061759949,True
127,-1.0399999999999998,0.9619,0.7188207805156708,True
128,-0.94,0.9616,0.6597189903259277,True
129,-0.9749999999999999,0.9613,0.6387728080153465,True
130,0.15500000000000003,0.961,1.1888109644254048,True
131,-1.94,0.9607,1.8161612749099731,True
132,-1.185,0.9604,1.376654691166348,True
133,-0.735,0.9601,2.404361665248871,True
134,-0.9100000000000005,0.9598,2.1263182690510383,True
135,-1.455,0.9595,1.4130428433418274,True
136,-0.81,0.9592,2.2432522773742676,True
137,-2.005,0.9589,1.8735875010490417,True
138,-1.3550000000000004,0.9586,3.757393337213076,True
139,-0.1299999999999999,0.9583,1.5290926098823547,True
140,-1.545,0.958,2.6944578488667807,True
141,-1.135,0.9577,3.0207366943359375,True
142,-0.925,0.9574,2.6100573937098184,True
143,-1.105,0.9571000000000001,6.119169433911641,True
144,-0.3450000000000002,0.9568,6.7624295098440985,True
145,-0.66,0.9565,6.379976570606232,True
146,-0.95,0.9562,9.696848630905151,True
147,-1.875,0.9559,4.373826086521149,True
148,0.22499999999999987,0.9556,5.897839665412903,True
149,-2.4850000000000003,0.9553,9.6155424118042,True
150,-0.5000000000000001,0.955,9.111640548706054,True
151,-1.08,0.9547,4.589329659938812,True
